sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
SMH→SOXL,SMH_DEF,2014-03-07,19.6555,2015-12-08,24.8144,26.2464,641,def_to_vehicle
SMH→SOXL,SOXL,2015-12-08,1.7229,2016-01-06,1.4463,-16.0544,29,wma_cross_below
QQQ→TQQQ,TQQQ,2015-10-28,2.3777,2016-01-07,1.9234,-19.1076,71,stop_loss(12%)
SPY→SPXL,SPY_DEF,2015-11-16,170.4568,2016-03-23,173.8806,2.0086,128,def_to_vehicle
SMH→SOXL,SMH_DEF,2016-01-06,23.3622,2016-03-31,25.1339,7.5841,85,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2016-01-07,98.4141,2016-04-04,102.7581,4.414,88,def_to_vehicle
QQQ→TQQQ,TQQQ,2016-04-04,2.1013,2016-05-02,1.8536,-11.7905,28,stop_loss(12%)
SMH→SOXL,SOXL,2016-03-31,1.6519,2016-05-02,1.4129,-14.465,32,stop_loss(12%)
QQQ→TQQQ,QQQ_DEF,2016-05-02,98.7151,2016-06-14,100.4012,1.708,43,def_to_vehicle
QQQ→TQQQ,TQQQ,2016-06-14,1.9329,2016-06-28,1.704,-11.8411,14,stop_loss(12%)
QQQ→TQQQ,QQQ_DEF,2016-06-28,96.512,2016-08-10,109.2426,13.1907,43,def_to_vehicle
QQQ→TQQQ,TQQQ,2016-08-10,2.4522,2018-02-26,6.8347,178.714,565,vol_exit(30.3%)
SPY→SPXL,SPXL,2016-03-23,18.6669,2018-10-29,39.9784,114.1674,950,wma_cross_below
SPY→SPXL,SPY_DEF,2018-10-29,240.3336,2019-02-25,252.466,5.0481,119,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2018-02-26,160.0939,2019-03-04,167.6005,4.6889,371,def_to_vehicle
SMH→SOXL,SMH_DEF,2016-05-02,23.9406,2019-03-11,48.1678,101.1967,1043,def_to_vehicle
SMH→SOXL,SOXL,2019-03-11,7.6873,2019-05-22,7.6945,0.0939,72,vol_exit(30.0%)
QQQ→TQQQ,TQQQ,2019-03-04,6.33,2020-03-03,10.568,66.9505,365,vol_exit(34.8%)
SPY→SPXL,SPXL,2019-02-25,43.5562,2020-03-04,52.7583,21.127,373,vol_exit(31.0%)
QQQ→TQQQ,QQQ_DEF,2020-03-03,209.2008,2020-03-13,180.2552,-13.8363,10,def_stop(18%)
SPY→SPXL,SPY_DEF,2020-03-04,280.5128,2020-03-13,241.0822,-14.0566,9,def_stop(18%)
QQQ→TQQQ,TQQQ,2020-06-11,11.0715,2020-09-09,15.4304,39.3707,90,vol_exit(32.2%)
SMH→SOXL,SMH_DEF,2019-05-22,48.3814,2021-09-16,132.5723,174.0149,848,def_to_vehicle
SMH→SOXL,SOXL,2021-09-16,46.3172,2021-09-30,39.8363,-13.9925,14,stop_loss(12%)
SPY→SPXL,SPXL,2020-07-28,45.7716,2021-12-28,141.2861,208.6763,518,take_profit(200%)
SPY→SPXL,SPY_DEF,2021-12-28,451.8775,2022-05-20,373.1326,-17.4262,143,def_stop(18%)
SMH→SOXL,SMH_DEF,2021-09-30,125.2613,2022-06-17,99.9849,-20.179,260,def_stop(18%)
SPY→SPXL,SPXL,2023-01-30,69.502,2023-03-13,57.8714,-16.7342,42,stop_loss(12%)
QQQ→TQQQ,QQQ_DEF,2020-09-09,266.5305,2023-04-17,312.9988,17.4345,950,def_to_vehicle
SPY→SPXL,SPY_DEF,2023-03-13,367.015,2023-11-07,423.4556,15.3783,239,def_to_vehicle
QQQ→TQQQ,TQQQ,2023-04-17,13.2276,2024-07-08,40.3043,204.6999,448,take_profit(200%)
SPY→SPXL,SPXL,2023-11-07,79.5276,2025-03-18,143.6226,80.5948,497,wma_cross_below
SPY→SPXL,SPY_DEF,2025-03-18,558.2357,2025-05-21,583.3505,4.499,64,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2024-07-08,492.5376,2025-06-11,533.7119,8.3596,338,def_to_vehicle
SMH→SOXL,SOXL,2025-07-25,25.1627,2025-10-13,38.23,51.9311,80,vol_exit(31.6%)
QQQ→TQQQ,TQQQ,2025-06-11,38.092,2026-03-23,44.57,17.0061,285,end_of_data
SPY→SPXL,SPXL,2025-05-21,150.6507,2026-03-23,191.01,26.79,306,end_of_data
SMH→SOXL,SMH_DEF,2025-10-13,336.4331,2026-03-23,391.36,16.3262,161,end_of_data
